C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
"['B-DISEASE',","I-DISEASE',","O',","O',","O',","O',","B-CHEMICAL',","I-CHEMICAL',","I-CHEMICAL',","O',","O',","B-PROCESS',","I-PROCESS',","I-PROCESS',",O']
,,,,,,,,,,,,,,
The,checkpoint,inhibitor,therapy,enhanced,T-cell,activation,while,reducing,programmed,death-1,immune,suppression.,,
"['O',","B-PROCESS',","I-PROCESS',","I-PROCESS',","O',","B-PROCESS',","I-PROCESS',","O',","O',","B-PROCESS',","I-PROCESS',","I-PROCESS',","I-PROCESS',]",,
,,,,,,,,,,,,,,
Sjögren's,syndrome,patients,exhibited,increased,B-cell,activation,and,elevated,rheumatoid,factor,autoantibody,production.,,
"['B-DISEASE',","I-DISEASE',","O',","O',","O',","B-PROCESS',","I-PROCESS',","O',","O',","B-CHEMICAL',","I-CHEMICAL',","B-CHEMICAL',",O'],,
,,,,,,,,,,,,,,
Inflammatory,arthritis,involved,enhanced,synovial,fluid,accumulation,and,increased,prostaglandin,inflammatory,mediator,synthesis.,,
"['B-DISEASE',","I-DISEASE',","O',","O',","B-PROCESS',","I-PROCESS',","I-PROCESS',","O',","O',","B-CHEMICAL',","B-PROCESS',","I-PROCESS',",O'],,
,,,,,,,,,,,,,,
The,targeted,therapy,reduced,interleukin-6,receptor,signaling,while,preserving,essential,immune,homeostasis,mechanisms.,,
"['O',","B-PROCESS',","I-PROCESS',","O',","B-PROCESS',","I-PROCESS',","I-PROCESS',","O',","O',","O',","B-PROCESS',","I-PROCESS',","I-PROCESS',]",,
,,,,,,,,,,,,,,
Vasculitis,patients,demonstrated,increased,endothelial,cell,activation,and,enhanced,complement-mediated,tissue,damage.,,,
"['B-DISEASE',","O',","O',","O',","B-PROCESS',","I-PROCESS',","I-PROCESS',","O',","O',","B-PROCESS',","I-PROCESS',","I-PROCESS',]",,,
,,,,,,,,,,,,,,
Celiac,disease,triggered,enhanced,tissue,transglutaminase,expression,and,increased,anti-gliadin,antibody,production.,,,
"['B-DISEASE',","I-DISEASE',","O',","O',","B-PROCESS',","I-PROCESS',","I-PROCESS',","O',","O',","B-CHEMICAL',","I-CHEMICAL',",O'],,,
,,,,,,,,,,,,,,
The,anti-cytokine,treatment,reduced,inflammatory,cascade,amplification,while,maintaining,protective,innate,immunity,responses.,,
"['O',","B-PROCESS',","I-PROCESS',","O',","B-PROCESS',","I-PROCESS',","I-PROCESS',","O',","O',","O',","B-PROCESS',","I-PROCESS',","I-PROCESS',]",,
,,,,,,,,,,,,,,
Systemic,mastocytosis,patients,showed,increased,tryptase,enzyme,release,and,enhanced,IgE-mediated,allergic,reactions.,,
"['B-DISEASE',","I-DISEASE',","O',","O',","O',","B-CHEMICAL',","O',","O',","O',","O',","B-PROCESS',","I-PROCESS',",I-PROCESS'],,
,,,,,,,,,,,,,,
Graft-versus-host,disease,involved,enhanced,donor,T-cell,activation,and,increased,inflammatory,tissue,infiltration,processes.,,
"['B-DISEASE',","I-DISEASE',","O',","O',","O',","B-PROCESS',","I-PROCESS',","O',","O',","B-PROCESS',","I-PROCESS',","I-PROCESS',","I-PROCESS',]",,
