Study,Link (Use DOI or Title if missing),Title,Disease,AlphaDirection,BetaSeparation,KeyTaxa_Enriched,KeyTaxa_Depleted,TaxaExtractionSource,Tags,Notes,InGoldStandard
WangLi2022,https://doi.org/10.3233/JAD-220076,Intestinal Microflora Changes in Patients with Mild Alzheimer’s Disease in a Chinese Cohort,Alzheimer’s disease (AD),No Difference,Yes,Akkermansia (LEfSe LDA>2; p<0.01); Bifidobacterium (Metastats FDR p<0.05); Bacteroides (Metastats FDR p<0.05); Fusobacterium (Metastats FDR p<0.05); Anaerotruncus (Metastats FDR p<0.05); Clostridium (Metastats FDR p<0.05); Coprobacillus (Metastats FDR p<0.05); Enterobacter (Metastats FDR p<0.05); Robiginitalea (Metastats FDR p<0.05); Moryella (Metastats FDR p<0.05); Sutterella (Metastats FDR p<0.05); Pyramidobacter (Metastats FDR p<0.05),Anaerostipes (Metastats FDR p<0.05); Mitsuokella (Metastats FDR p<0.05); Prevotella (Metastats FDR p<0.05); Bosea (Metastats FDR p<0.05); Lachnobacterium (Metastats FDR p<0.05); Aeromicrobium (Metastats FDR p<0.05); Coprococcus (Metastats FDR p<0.05); Tsukamurella (Metastats FDR p<0.05); Ruminococcus (Metastats FDR p<0.05); Megamonas (Metastats FDR p<0.05); Comamonas (Metastats FDR p<0.05); Fimbriimonas (Metastats FDR p<0.05); Faecalibacterium (Metastats FDR p<0.05); Labrys (Metastats FDR p<0.05).,Main Text,,,Yes
DuruLecomte2024,https://pubmed.ncbi.nlm.nih.gov/39143178/,Metagenome-assembled microbial genomes from Parkinson's disease fecal samples.,Parkinson’s disease (PD),,,,,Main Text,,,No
KaurKumari2025,https://pubmed.ncbi.nlm.nih.gov/40720918/,Gut dysbiosis influences the pathophysiology of multiple sclerosis: A case-control study from North India.,Multiple sclerosis (MS),,,,,Main Text,,,No
GuptaJanda2025,https://pubmed.ncbi.nlm.nih.gov/39819054/,Alterations in Gut Microbiome-Host Relationships After Immune Perturbation in Patients With Multiple Sclerosis.,Multiple sclerosis (MS),,,,,Main Text,,,No
NakaharaNakane2023,https://pubmed.ncbi.nlm.nih.gov/36750613/,Gut microbiota of Parkinson's disease in an appendectomy cohort: a preliminary study.,Parkinson’s disease (PD),,,,,Main Text,gradient/subtypes,,No
PalaciosWilkinson2023,https://pubmed.ncbi.nlm.nih.gov/37314861/,Metagenomics of the Gut Microbiome in Parkinson's Disease: Prodromal Changes.,Parkinson’s disease (PD),,,,,Main Text,gradient/subtypes,,No
ZhangYuan2023,https://pubmed.ncbi.nlm.nih.gov/36420886/,Changes in the intestinal microbiota of patients with Parkinson's disease and their clinical significance.,Parkinson’s disease (PD),,,,,Main Text,,,No
BarichellaSevergnini2019,https://pubmed.ncbi.nlm.nih.gov/30576008/,Unraveling gut microbiota in Parkinson's disease and atypical parkinsonism.,"Multiple system atrophy (MSA), Parkinson’s disease (PD)",,,,,Main Text,gradient/subtypes,,No
PetrovSaltykova2017,https://pubmed.ncbi.nlm.nih.gov/28429209/,Analysis of Gut Microbiota in Patients with Parkinson's Disease.,Parkinson’s disease (PD),,,,,Main Text,,,No
HertzbergSingh2022,https://pubmed.ncbi.nlm.nih.gov/33818222/,Gut microbiome differences between amyotrophic lateral sclerosis patients and spouse controls.,Amyotrophic lateral sclerosis (ALS),,,,,Main Text,,,No
KaiyrlykyzyKozhakhmetov2022,https://pubmed.ncbi.nlm.nih.gov/36068280/,Study of gut microbiota alterations in Alzheimer's dementia patients from Kazakhstan.,"Alzheimer’s disease (AD), Dementia",,,,,Main Text,,,No
KeshavarzianGreen2015,https://pubmed.ncbi.nlm.nih.gov/26179554/,Colonic bacterial composition in Parkinson's disease.,Parkinson’s disease (PD),,,,,Main Text,,,No
KhedrOmeran2022,https://doi.org/10.3233/JAD-220176,Alteration of Gut Microbiota in Alzheimer’s Disease and Their Relation to the Cognitive Impairment,Alzheimer’s disease (AD),Not Reported,Not reported,"Akkermansia (AD>Ctrl, qPCR p<0.05); Enterobacteria (p<0.05); Bacteroidetes (p<0.05); Bacillus cereus (p<0.05); Prevotella (p<0.05); Clostridium cluster IV (p<0.05)",Bifidobacterium spp. (p<0.05); Firmicutes (p<0.05); Actinobacteria (p<0.05).,Main Text,,,Yes
HopfnerKünstner2017,https://pubmed.ncbi.nlm.nih.gov/28506555/,Gut microbiota in Parkinson disease in a northern German cohort.,Parkinson’s disease (PD),,,,,Main Text,,,No
NuzumSzymlekGay2023,https://pubmed.ncbi.nlm.nih.gov/37150399/,Differences in the gut microbiome across typical ageing and in Parkinson's disease.,Parkinson’s disease (PD),,,,,Main Text,,,No
QianBao2025,https://pubmed.ncbi.nlm.nih.gov/38850348/,Multi-omics Analysis Reveals Key Gut Microbiota and Metabolites Closely Associated with Huntington's Disease.,Huntington’s disease (HD),,,,,Main Text,,,No
LuYang2022,,Gut Microbiota and Targeted Biomarkers Analysis in Patients With Cognitive Impairment,Other,,,,,Main Text,,,No
RowinXia2017,https://pubmed.ncbi.nlm.nih.gov/28947596/,Gut inflammation and dysbiosis in human motor neuron disease.,Amyotrophic lateral sclerosis (ALS),,,,,Main Text,,,No
YanYang2021,https://pubmed.ncbi.nlm.nih.gov/34530073/,Alterations of gut microbiota and metabolome with Parkinson's disease.,Parkinson’s disease (PD),,,,,Main Text,,,No
LinZheng2018,https://pubmed.ncbi.nlm.nih.gov/29776865/,Gut microbiota in patients with Parkinson's disease in southern China.,Parkinson’s disease (PD),,,,,Main Text,,,No
OzaydinAksunErdogan2024,https://doi.org/10.55730/1300-0144.5825,Is gut microbiota of patients with ALS different from that of healthy individuals?,Amyotrophic lateral sclerosis (ALS),No Difference,Not reported,Atopobiaceae; Actinomycetaceae; Erysipelatoclostridiaceae; Peptococcaceae; Bacilli; Coriobacteriia; Actinomycetales; Coriobacteriales; Actinomyces; Prevotella; Bacteroides; Succinivibrio; Faecalibacterium,Succinivibrionaceae; Lachnospiraceae,Main Text,,,Yes
NavarroLópezMéndezMiralles2022,https://pubmed.ncbi.nlm.nih.gov/35627315/,Gut Microbiota as a Potential Predictive Biomarker in Relapsing-Remitting Multiple Sclerosis.,Multiple sclerosis (MS),,,,,Main Text,,,No
NicholsonBjornevik2021,https://pubmed.ncbi.nlm.nih.gov/33135936/,The human gut microbiota in people with amyotrophic lateral sclerosis.,Amyotrophic lateral sclerosis (ALS),,,,,Main Text,,,No
LeeJo2025,https://doi.org/10.1186/s40168-025-02095-w,Distinct gut microbiome characteristics and dynamics in patients with Parkinson’s disease based on the presence of premotor rapid-eye movement sleep behavior disorders,Parkinson’s disease (PD),Not Reported,Yes,Akkermansia (p=4.41e-02); Barnesiella (p=1.31e-02); Eisenbergiella (p=7.07e-04); Desulfovibrio (p=7.33e-03); Hungatella (p=4.42e-04); Erysipelatoclostridium (p=1.51e-02); Leuconostoc (p=7.19e-04),Prevotella (p=3.15e-02); Faecalibacterium (p=5.74e-04); Agathobaculum (p=2.97e-04); RBD−: ↑ Coprobacter (p=7.86e-04),Main Text,gradient/subtypes;confounding disease,,No
YoonKang2024,https://pubmed.ncbi.nlm.nih.gov/37711026/,Dietary quality and the gut microbiome in early-stage Parkinson's disease patients.,Parkinson’s disease (PD),,,,,Main Text,,,No
MehannaAbuRaya2023,https://pubmed.ncbi.nlm.nih.gov/37481569/,Study of the gut microbiome in Egyptian patients with Parkinson's Disease.,Parkinson’s disease (PD),,,,,Main Text,,,No
ElsayedValenzuela2023,https://pubmed.ncbi.nlm.nih.gov/37758833/,Genetic risk score in multiple sclerosis is associated with unique gut microbiome.,Multiple sclerosis (MS),,,,,Main Text,,,No
HosseinkhaniChevalier2025,https://pubmed.ncbi.nlm.nih.gov/41164885/,Plasma and feces multiomics unveil cognition-associated perturbations of chronic inflammatory pathways of the gut-microbiota-brain axis.,Dementia,,,,,Main Text,gradient/subtypes,,No
CantarelWaubant2015,https://pubmed.ncbi.nlm.nih.gov/25775034/,Gut microbiota in multiple sclerosis: possible influence of immunomodulators.,Multiple sclerosis (MS),,,,,Main Text,intervention,,No
DuDong2020,https://pubmed.ncbi.nlm.nih.gov/33679692/,Altered Gut Microbiota Related to Inflammatory Responses in Patients With Huntington's Disease.,Huntington’s disease (HD),,,,,Main Text,,,No
TrociZimmermann2022,https://pubmed.ncbi.nlm.nih.gov/35260584/,B-cell-depletion reverses dysbiosis of the microbiome in multiple sclerosis patients.,Multiple sclerosis (MS),,,,,Main Text,intervention,,No
LuoChen2022,,"Gut microbiota composition reflects disease progression, severity and outcome, and dysfunctional immune responses in patients with hypertensive intracerebral hemorrhage",Stroke,,,,,Main Text,,,No
DuZhang2024,https://pubmed.ncbi.nlm.nih.gov/38561921/,Idiopathic Rapid Eye Movement Sleep Behavior Disorder (iRBD) Shares Similar Fecal Short-Chain Fatty Acid Alterations with Multiple System Atrophy (MSA) and Parkinson's Disease (PD).,"Multiple system atrophy (MSA), Parkinson’s disease (PD)",,,,,Main Text,,,No
RomoVaqueroFernándezVillalba2022,https://pubmed.ncbi.nlm.nih.gov/35611932/,Urolithins: potential biomarkers of gut dysbiosis and disease stage in Parkinson's patients.,Parkinson’s disease (PD),,,,,Main Text,,,No
WanapaisanChuansangeam2022,https://pubmed.ncbi.nlm.nih.gov/36070704/,Association between Gut Microbiota with Mild Cognitive Impairment and Alzheimer's Disease in a Thai Population.,"Alzheimer’s disease (AD), Dementia",,,,,Main Text,,,No
Rustvan2025,https://pubmed.ncbi.nlm.nih.gov/40318838/,Association between the relative abundance of butyrate-producing and mucin-degrading taxa and Parkinson's disease.,Parkinson’s disease (PD),,,,,Main Text,,,No
BabacanKayacan2023,https://pubmed.ncbi.nlm.nih.gov/36719617/,Altered gut microbiota in patients with idiopathic Parkinson's disease: an age-sex matched case-control study.,Parkinson’s disease (PD),No Difference,Not reported,Lactobacillaceae and Akkermansiaceae; Lactobacillus,"Coriobacteriales; Lachnospiraceae ND3007 group, Tyzzerella, Fusicatenibacter, Eubacterium hallii group, and Ruminococcus gauvreauii group",Main Text,,,Yes
QianYang2020,https://pubmed.ncbi.nlm.nih.gov/32844199/,Gut metagenomics-derived genes as potential biomarkers of Parkinson's disease.,Parkinson’s disease (PD),Increase,Yes,Phyla Synergistetes and Verrucomicrobia,,Main Text,,,No
LiLiu2025,https://pubmed.ncbi.nlm.nih.gov/40340433/,Alterations of fecal microbiota and plasma metabolome in patients with Parkinson's disease with rapid eye movement sleep disorder.,Parkinson’s disease (PD),No Difference,Yes,Christensenellales,,Main Text,gradient/subtypes;confounding disease,"Also includes Idiopathic RBD patients; authors list many significant differences in the main text, but no directionality",No
ZhouWang2021,https://pubmed.ncbi.nlm.nih.gov/33814442/,Gut Microbiota Changes and Their Correlation with Cognitive and Neuropsychiatric Symptoms in Alzheimer's Disease.,"Alzheimer’s disease (AD), Dementia",Decrease,Yes,"Genus Bifidobacterium (p = 0.031) and species Actinomyces viscosus (p = 0.007) from Actinobacteria, genus Sphingomonas (p = 0.022), Bilophila (p = 0.004), and Neorhizobium (p = 0.027) all from Proteobacteria, and genus Flavobacterium (p = 0.015), Moheibacter (p = 0.019), Lactobacillus (p = 0.005), Weissella (p = 0.025), Blautia (p = 0.047), Clostridium_XlVa (p = 0.032), and Solobacterium (p = 0.005)","genus Odoribacter (p = 0.008), Eubacterium (p = 0.006), Anaerobacterium (p < 0.001), and Papillibacter (p < 0.001)",Main Text,,,Yes
TanChong2021,https://pubmed.ncbi.nlm.nih.gov/33274480/,Gut Microbial Ecosystem in Parkinson Disease: New Clinicobiological Insights from Multi-Omics.,Parkinson’s disease (PD),No Difference,Yes,"Bacteroides fragilis, Lactobacillus acidophilus, unclassified Megasphaera, and unclassified Gammaproteobacteria. Five genera were significantly increased in PD (Cloacibacillus, Catabacter, Christensenella, Butyrivibrio, and Bifidobacterium)",,Main Text,,,No
HaranBhattarai2019,https://pubmed.ncbi.nlm.nih.gov/31064831/,Alzheimer's Disease Microbiome Is Associated with Dysregulation of the Anti-Inflammatory P-Glycoprotein Pathway.,"Alzheimer’s disease (AD), Dementia",Not Reported,Yes,"AD: Bacteroides spp. (P = 0.031), Alistipes spp. (P < 0.001), Odoribacter spp. (P < 0.001), and Barnesiella spp. (P = 0.023), other dementias: Odoribacter spp. (P = 0.025) and Barnesiella spp. (P = 0.024)","AD: Lachnoclostridium spp. (P = 0.048) , other dementias: Eubacterium spp. (P < 0.001), Roseburia spp. (P = 0.034), Lachnoclostridium spp. (P = 0.048), and Collinsella spp. (P < 0.001)",Main Text,gradient/subtypes,,No
PietrucciCerroni2019,https://pubmed.ncbi.nlm.nih.gov/31174953/,Dysbiosis of gut microbiota in a selected population of Parkinson's patients.,Parkinson’s disease (PD),No Difference,Yes,"Lactobacillaceae, Enterobacteriaceae and Enterococcaceae families",Lachnospiraceae,Main Text,,,Yes
LwereMuwonge2025,https://pubmed.ncbi.nlm.nih.gov/40258729/,Characterization of the gut microbiome in Alzheimer disease and mild cognitive impairment among older adults in Uganda: A case-control study.,Alzheimer’s disease (AD),Decrease,Not reported,Obesumbacterium (P = .00468),"Acidobacteria and Firmicutes; Ochrobactrum (P = 7e−07), Mesorhizobium (P = 8e−05), and Streptococcus (P = .00021)",Main Text,,"This paper doesn't report statistics correctly, or sometimes at all.",No
TeigenMcCarter2024,https://pubmed.ncbi.nlm.nih.gov/39426329/,Taxonomic intestinal microbiota differences in Lewy body spectrum disease and cohabitant controls.,Other,No Difference,Yes,,"Lachnospiraceae, Faecalibacterium, and Alistipes",Main Text,,Lewy body disease,No
VacarasMuresanu2023,The role of multiple sclerosis therapies on the dynamic of human gut microbiota - PubMed,The role of multiple sclerosis therapies on the dynamic of human gut microbiota.,Multiple sclerosis (MS),No Difference,No,"Lentisphaerae phylum (p = 0.005), Prevotella stercorea species (p = 0.02) ,","Actinobacteria phylum (p = 0.01), with its species Bifidobacterium (p = 0.01) and Bifidobacterium adolescentis (p = 0.007), also decreased level of Bacteroides coprophilus (p = 0.02) (from Bacteroidetes phylum). Firmicutes phylum has reduced relative abundance of Faecalibacterium prausnitzii (p = 0.03), Lachnospiraceae (p = 0.01), Staphylococcus hominis (p = 0.02) and Staphylococcus bacterium (p = 0.02). Proteobacteria phylum has a decreased in Haemophilus (p = 0.04) and Escherichia coli (p = 0.04).",Main Text,intervention,,No
GuoPeng2021,https://pubmed.ncbi.nlm.nih.gov/33523001/,Gut Microbiome Features of Chinese Patients Newly Diagnosed with Alzheimer's Disease or Mild Cognitive Impairment,Alzheimer’s disease (AD),,Yes,Prevotella_9; Prevotella_9 (uncultured bacterium); Eubacterium eligens group (MCI),Bacteroides; Lachnospira; Ruminiclostridium_9; Bacteroides fragilis,Main Text,,,Yes
LiWu2017,https://pubmed.ncbi.nlm.nih.gov/28536926/,Structural changes of gut microbiota in Parkinson's disease and its correlation with clinical features.,Parkinson’s disease (PD),No Difference,Not reported,"Acidaminococcus, Acinetobacter, Enterococcus, Escherichia-Shigella, Megamonas,
Megasphaera, Proteus, Streptococcus","Blautia, Faecalibacterium, Ruminococcus",Main Text,,,Yes
QianYang2018,https://pubmed.ncbi.nlm.nih.gov/29501802/,Alteration of the fecal microbiota in Chinese patients with Parkinson's disease.,Parkinson’s disease (PD),Increase,Yes,"Alistipes, Paraprevotella, Klebesiella, Sphingomonas, Acinetobacter, Aquabacterium, Desulfovibrio, Clostridium IV, Lachnospiracea incertae sedis, Butyricicoccus, Clostridium XVIII and Nitrososphaera",Lactobacillus and Sediminibacterium,Main Text,,,Yes
ChenXu2022,https://www.frontiersin.org/articles/10.3389/fcimb.2022.942460/full,A comparison of the composition and functions of the oral and gut microbiotas in Alzheimer’s patients,"Alzheimer’s disease (AD), Dementia",,Yes,Streptococcus (moderate AD>NC; p<0.05; human oral); Veillonella (moderate AD>NC; p<0.05; human oral); Leptotrichia (mild & moderate AD>NC; p=0.002; human oral); Enterobacteriaceae/Escherichia_Shigella (moderate AD>NC; p<0.05; human fecal); Verrucomicrobia/Akkermansia (moderate AD>NC; p<0.05; human fecal); Actinobacteria/Bifidobacterium (mild & moderate AD>NC; p<0.05; human fecal),Aggregatibacter (moderate AD<NC; p<0.05; human oral); Lautropia (moderate AD<NC; p<0.05; human oral). GUT—↓ Erysipelotrichia/Erysipelotrichales (moderate AD<NC; p<0.05; human fecal); Acidaminococcaceae/Phascolarctobacterium (moderate AD<NC; p<0.05; human fecal); Clostridium_IV (moderate AD<NC; p<0.05; human fecal); Bacteroidaceae/Bacteroides & Parabacteroides (moderate AD<NC; p<0.05; human fecal),Main Text,gradient/subtypes,,No
LubomskiXu2022,https://pubmed.ncbi.nlm.nih.gov/34128115/,The impact of device-assisted therapies on the gut microbiome in Parkinson's disease.,Parkinson’s disease (PD),No Difference,Yes,,,Main Text,intervention,"DA between disease and HC was not tested, only between two different treatment regimen.",No
ZengShen2020,https://pubmed.ncbi.nlm.nih.gov/32747678/,The alteration of gut microbiome and metabolism in amyotrophic lateral sclerosis patients.,Amyotrophic lateral sclerosis (ALS),Increase,Yes,"Bacteroidetes (42.23 vs. 26.46%, P = 0.0045) at the phylum level, as well as Kineothrix (0.0021 vs. 0%, P = 0.009), Parabacteroides (0.32 vs. 0.01%, P = 0.011), Odoribacter (2.61 vs. 1.87%, P = 0.0156), Sporobacter (0.12 vs. 0.02%, P = 0.0137), Eisenbergiella (0.21% vs. 0.07%, P = 0.0289), Mannheimia (0.12 vs. 0.02%, P = 0.0439), Anaerotruncus (0.03 vs. 0.02%, P = 0.0417) and unclassified Porphyromonadaceae (0.0097 vs. 0.0072%, P = 0.01)","Firmicutes (45.29 vs. 59.75%, P = 0.0248) at the phylum level and Megamonas (1.48 vs. 7.54%, P = 0.0335)",Main Text,,Weighted and unweighted ANOSIM showed different result.,Yes
AhoPereira2019,https://pubmed.ncbi.nlm.nih.gov/31221587/,Gut microbiota in Parkinson's disease: Temporal stability and relations to disease progression.,Parkinson’s disease (PD),No Difference,Yes,,,Main Text,,3 different DA methods were used and compared. Main text did not indicate the directionality of DA between PD and HC.,No
DuWang2025,https://pubmed.ncbi.nlm.nih.gov/40717466/,Effect of Probiotics Supplementation on REM Sleep Behavior Disorder and Motor Symptoms in Parkinson's Disease: A Pilot Study.,Parkinson’s disease (PD),No Difference,No,"p_Actinobacteriota and c_Negativicutes, Gordonibacter and Peptoniphilus coxii, Bacillus sp._SB47, Streptococcus_mutans_U2B, and Lactobacillus_casei","Lactococcus, Comamonas, and Enterococcus, Enterococcus_faecium, Comamonas_kerstersii, and Ruminococcaceae_bacterium GD-1",Main Text,intervention,,No
KozhievaNaumova2019,https://pubmed.ncbi.nlm.nih.gov/31888483/,Primary progressive multiple sclerosis in a Russian cohort: relationship with gut bacterial diversity.,Multiple sclerosis (MS),No Difference,Not reported,"Verrucomicrobiae, Deltaproteobacteria",Clostridia,Main Text,,,Yes
ChenChia2016,https://pubmed.ncbi.nlm.nih.gov/27346372/,Multiple sclerosis patients have a distinct gut microbiota compared to healthy controls.,Multiple sclerosis (MS),No Difference,Yes,"Pseudomonas (Proteobactreia), Pedobacter (Bacteroidetes), Blautia (Firmicutes), Dorea (Firmicutes), and Mycoplana (Proteobactreia)","Adlercreutzia (Actinobacteria), Collinsella (Actinobacteria), Lactobacillus (Firmicutes) and Parabacteroides (Bacteriodetes)",Main Text,,,Yes
LinLin2025,https://pubmed.ncbi.nlm.nih.gov/40606636/,Anxiety-related gut microbiota alterations in Parkinson's disease: distinct associations compared to healthy individuals.,Parkinson’s disease (PD),No Difference,Differing B/w Subgroups,"PD-Anxious: Ruminococcaceae, Bacteroides intestinalis",PD-Anxious: Escherichia-Shigella,Main Text,gradient/subtypes;confounding disease,,No
MazziniMogna2018,https://pubmed.ncbi.nlm.nih.gov/29782468/,Potential Role of Gut Microbiota in ALS Pathogenesis and Possible Novel Therapeutic Strategies.,Amyotrophic lateral sclerosis (ALS),,,,,Main Text,intervention,"This is a presentation abstract, not a paper.",No
ZhangYue2020,https://pubmed.ncbi.nlm.nih.gov/33099131/,Altered gut microbiota in Parkinson's disease patients/healthy spouses and its association with clinical features.,Parkinson’s disease (PD),Decrease,Yes,,,Main Text,,,No
ZhangMa2022,https://pubmed.ncbi.nlm.nih.gov/35599486/,Crosstalk Between Gut Microflora and Vitamin D Receptor SNPs Are Associated with the Risk of Amnestic Mild Cognitive Impairment in a Chinese Elderly Population.,Alzheimer’s disease (AD),No Difference,No,,,Main Text,,,No
LinChen2019,https://pubmed.ncbi.nlm.nih.gov/31248424/,Altered gut microbiota and inflammatory cytokine responses in patients with Parkinson's disease.,Parkinson’s disease (PD),,,"Parabacteroides, Verrucomicrobia, Akkermansia, Veillonella, Odoribacter, Mucispirillum, Bilophila, Enterococcus, Lactobacillus",Prevotella,Main Text,,,Yes
NiTong2025,https://pubmed.ncbi.nlm.nih.gov/39134825/,Gut Microbiota-Induced Modulation of the Central Nervous System Function in Parkinson's Disease Through the Gut-Brain Axis and Short-Chain Fatty Acids.,Parkinson’s disease (PD),Increase,Yes,"Clostridiales, bacteroidales",Enterobacterales,Main Text,,,Yes
YildirimNalbantoglu2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC8823292/,Stratification of the Gut Microbiota Composition Landscape across the Alzheimer's Disease Continuum in a Turkish Cohort,"Alzheimer’s disease (AD), Dementia",Increase,Yes,Bacteroides; Escherichia-Shigella; Enterococcus; Klebsiella; Akkermansia,,Main Text,,,No
BaldiniHertel2020,https://doi.org/10.1186/s12915-020-00775-7,Parkinson’s disease-associated alterations of the gut microbiome predict disease-relevant changes in metabolic functions,Parkinson’s disease (PD),No Difference,Yes,Anaerotruncus colihominis (FDR<0.05); Christensenella minuta (FDR<0.05); Lactobacillus (FDR<0.05); Streptococcus (FDR<0.05); Akkermansia muciniphila (FDR<0.05); Bilophila (FDR<0.05); Ruminococcus bromii (FDR<0.05); Ruminococcus torques (FDR<0.05); Roseburia intestinalis (FDR<0.05),Turicibacter sanguinis (FDR<0.05),Main Text,,,Yes
XiDing2021,https://pubmed.ncbi.nlm.nih.gov/34384375/,Disturbed microbial ecology in Alzheimer's disease: evidence from the gut microbiota and fecal metabolome.,Alzheimer’s disease (AD),No Difference,Yes,"Agathobacter,  unclassified_f_Lach- nospiraceae, Eubacterium_ventriosum_group, Lachnospiraceae_NC2004, Lachnospiraceae_NC2004, Faecalibacterium,   Ruminococca- ceae_UCG-007, Alloprevotella, Atopobium, Parvimonas, Cloacibacillus, Solobacterium, Pseudomonas","Tyzzerella, Erysipelatoclostridium",Main Text,,,Yes
SepúlvedaRiveraOlivieriHenry2025,https://pubmed.ncbi.nlm.nih.gov/40764790/,Gut microbiota distinguishes aging hispanics with Alzheimer's disease: associations with cognitive impairment and severity.,Alzheimer’s disease (AD),No Difference,No,,,Main Text,,,No
MertsalmiAho2017,https://pubmed.ncbi.nlm.nih.gov/28891262/,More than constipation - bowel symptoms in Parkinson's disease and their connection to gut microbiota.,Parkinson’s disease (PD),Not Reported,Not reported,,,Main Text,,,No
DelGrassini2020,https://pubmed.ncbi.nlm.nih.gov/33085540/,The impact of intestinal microbiota on weight loss in Parkinson's disease patients: a pilot study.,Parkinson’s disease (PD),,,,,Main Text,,,No
YuWan2024,https://pubmed.ncbi.nlm.nih.gov/38529601/,Disruptions of Gut Microbiota are Associated with Cognitive Deficit of Preclinical Alzheimer's Disease: A Cross-Sectional Study.,"Alzheimer’s disease (AD), Dementia",,,,,Main Text,,,No
VilletteNovikova2025,https://pubmed.ncbi.nlm.nih.gov/40707492/,Human gut microbiome gene co-expression network reveals a loss in taxonomic and functional diversity in Parkinson's disease.,Parkinson’s disease (PD),,,,,Main Text,,,No
DiBozzi2020,https://pubmed.ncbi.nlm.nih.gov/32546239/,A prospective longitudinal study on the microbiota composition in amyotrophic lateral sclerosis.,Amyotrophic lateral sclerosis (ALS),,,,,Main Text,intervention,,No
JumaylaweeKomijani2025,https://pubmed.ncbi.nlm.nih.gov/39742897/,The interplay of gut microbiota and heavy metals in multiple sclerosis patients.,Multiple sclerosis (MS),,,,,Main Text,,,No
WuHan2021,https://pubmed.ncbi.nlm.nih.gov/33466861/,Altered Gut Microbial Metabolites in Amnestic Mild Cognitive Impairment and Alzheimer's Disease: Signals in Host-Microbe Interplay.,"Alzheimer’s disease (AD), Dementia",,,,,Main Text,,,No
PapićRački2025,https://pubmed.ncbi.nlm.nih.gov/40824914/,Microbial diversity in drug-naïve Parkinson's disease patients.,Parkinson’s disease (PD),,,,,Main Text,,,No
HerkenBang2019,https://pubmed.ncbi.nlm.nih.gov/31624178/,Normal gut microbiome in NMDA receptor encephalitis.,Other,,,,,Main Text,,,No
JeongHuang2022,https://pubmed.ncbi.nlm.nih.gov/35431236/,Cognitive Function Associated with Gut Microbial Abundance in Sucrose and S-Adenosyl-L-Methionine (SAMe) Metabolic Pathways.,"Alzheimer’s disease (AD), Dementia",,,,,Main Text,,,No
ChenChen2022,https://pubmed.ncbi.nlm.nih.gov/35342048/,Alteration of Gut Microbial Metabolites in the Systemic Circulation of Patients with Parkinson's Disease.,Parkinson’s disease (PD),,,,,Main Text,,,No
UbedaVázquezCarretero2022,https://pubmed.ncbi.nlm.nih.gov/36614151/,Fecal Volatile Organic Compounds and Microbiota Associated with the Progression of Cognitive Impairment in Alzheimer's Disease.,"Alzheimer’s disease (AD), Dementia",,,,,Main Text,,,No
ChristopherMorgan2025,https://pubmed.ncbi.nlm.nih.gov/40362907/,"Specific Bacterial Taxa and Their Metabolite, DHPS, May Be Linked to Gut Dyshomeostasis in Patients with Alzheimer's Disease, Parkinson's Disease, and Amyotrophic Lateral Sclerosis.","Amyotrophic lateral sclerosis (ALS), Alzheimer’s disease (AD), Parkinson’s disease (PD)",,,,,Main Text,,,No
LiuDuan2022,https://pmc.ncbi.nlm.nih.gov/articles/PMC9259038/,Orthopedic Surgery Causes Gut Microbiome Dysbiosis and Intestinal Barrier Dysfunction in Prodromal Alzheimer Disease Patients,Alzheimer’s disease (AD),,Yes,Bacteroidaceae; Enterobacteriaceae; Acidaminococcaceae,Butyricicoccaceae; Christensenellaceae; Butyricicoccus; Christensenellaceae_R-7_group; Lachnospiraceae; Lachnospiraceae_UCG-010; Subdoligranulum; Fusicatenibacter; Dorea; Lachnospira,Main Text,intervention,,No
SajiNiida2019,https://pubmed.ncbi.nlm.nih.gov/30700769/,Analysis of the relationship between the gut microbiome and dementia: a cross-sectional study conducted in Japan.,Dementia,,,,,Main Text,,,No
TakewakiSuda2020,https://pubmed.ncbi.nlm.nih.gov/32839304/,Alterations of the gut ecological and functional microenvironment in different stages of multiple sclerosis.,Multiple sclerosis (MS),,,,,Main Text,,,No
ShengLin2021,https://pubmed.ncbi.nlm.nih.gov/34024839/,Altered Gut Microbiota in Adults with Subjective Cognitive Decline: The SILCODE Study.,"Alzheimer’s disease (AD), Dementia",,,,,Main Text,,,No
GungorAdiguzel2016,https://pubmed.ncbi.nlm.nih.gov/26752409/,Intestinal Microbiota in Patients with Spinal Cord Injury.,"Amyotrophic lateral sclerosis (ALS), Spinal cord injury (SCI)",,,,,Main Text,,,No
HeintzBuschartPandey2018,https://pubmed.ncbi.nlm.nih.gov/28843021/,The nasal and gut microbiome in Parkinson's disease and idiopathic rapid eye movement sleep behavior disorder.,Parkinson’s disease (PD),,,,,Main Text,,,No
LiuWu2019,https://pubmed.ncbi.nlm.nih.gov/31063846/,Altered microbiomes distinguish Alzheimer's disease from amnestic mild cognitive impairment and health in a Chinese cohort.,"Alzheimer’s disease (AD), Dementia",,,,,Main Text,,,No
LiWang2019,https://pubmed.ncbi.nlm.nih.gov/31200089/,Alteration of the fecal microbiota in North-Eastern Han Chinese population with sporadic Parkinson's disease.,Parkinson’s disease (PD),,,,,Main Text,,,No
